organism,ID_link,CSPA category,UP_Protein_name,UP_entry_name,CD,ENTREZ_gene_ID,ENTREZ gene symbol,protein probability,count detection in different cell types,Phobius TM predicted yes/no,# predicted TM domains,GPI,UniProt cell surface
Mouse,Q9D8F3,1 - high confidence,Porcine endogenous retrovirus A receptor 2 homolog,PEVR2_MOUSE,no,52710,Gpr172b,1,18,1,10,0,yes
Mouse,Q9DA75,1 - high confidence,Major facilitator superfamily domain-containing protein 2A,MFS2A_MOUSE,no,76574,Mfsd2a,1,13,1,9,0,yes
Mouse,Q9DBV4,1 - high confidence,Matrix-remodeling-associated protein 8,MXRA8_MOUSE,no,74761,Mxra8,1,7,1,1,0,yes
Mouse,Q9DBX3,1 - high confidence,Sushi domain-containing protein 2,SUSD2_MOUSE,no,71733,Susd2,1,12,1,1,0,yes
Mouse,Q9DCP2,1 - high confidence,Sodium-coupled neutral amino acid transporter 3,S38A3_MOUSE,no,76257,Slc38a3,1,9,1,11,0,yes
Mouse,Q9EP96,1 - high confidence,Solute carrier organic anion transporter family member 1A4,SO1A4_MOUSE,no,28250,Slco1a4,1,1,1,12,0,yes
Mouse,Q9EPR4,1 - high confidence,Solute carrier family 23 member 2,S23A2_MOUSE,no,54338,Slc23a2,1,3,1,12,0,yes
Mouse,Q9EPR5,1 - high confidence,VPS10 domain-containing receptor SorCS2,SORC2_MOUSE,no,81840,Sorcs2,1,6,1,1,0,yes
Mouse,Q9EPT5,1 - high confidence,Solute carrier organic anion transporter family member 2A1,SO2A1_MOUSE,no,24059,Slco2a1,1,1,1,12,0,yes
Mouse,Q9EQS9,1 - high confidence,Immunoglobulin superfamily DCC subclass member 4,IGDC4_MOUSE,no,56741,Igdcc4,1,15,1,1,0,yes
Mouse,Q9ERB5,1 - high confidence,Solute carrier organic anion transporter family member 1C1,SO1C1_MOUSE,no,58807,Slco1c1,1,1,1,11,0,yes
Mouse,Q9ES57,1 - high confidence,Cell surface glycoprotein CD200 receptor 1,MO2R1_MOUSE,no,57781,Cd200r1,1,1,1,1,0,yes
Mouse,Q9ESG4,1 - high confidence,Collectrin,TMM27_MOUSE,no,57394,Tmem27,1,1,1,1,0,yes
Mouse,Q9ESM6,1 - high confidence,Glycerophosphoinositol inositolphosphodiesterase GDPD2,GDPD2_MOUSE,no,71584,Gdpd2,1,11,1,6,0,yes
Mouse,Q9JI18,1 - high confidence,Low-density lipoprotein receptor-related protein 1B,LRP1B_MOUSE,no,94217,Lrp1b,1,3,1,1,0,yes
Mouse,Q9JIM1,1 - high confidence,Equilibrative nucleoside transporter 1,S29A1_MOUSE,no,63959,Slc29a1,1,27,1,11,0,yes
Mouse,Q9JJF9,1 - high confidence,Signal peptide peptidase-like 2A,PSL2_MOUSE,no,66552,Sppl2a,1,3,1,9,0,yes
Mouse,Q9JLL0,1 - high confidence,Cysteine-rich motor neuron 1 protein,CRIM1_MOUSE,no,50766,Crim1,1,1,1,1,0,yes
Mouse,Q9JMG4,1 - high confidence,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4,NKAI4_MOUSE,no,58237,Nkain4,1,3,1,3,0,yes
Mouse,Q9QY40,1 - high confidence,Plexin-B3,PLXB3_MOUSE,no,140571,Plxnb3,1,2,1,1,0,yes
Mouse,Q9R0M4,1 - high confidence,Podocalyxin-like protein 1,PODXL_MOUSE,no,27205,Podxl,1,1,1,1,0,yes
Mouse,Q9R0Y8,1 - high confidence,Gamma-aminobutyric acid receptor subunit gamma-1,GBRG1_MOUSE,no,14405,Gabrg1,1,2,1,4,0,yes
Mouse,Q9R100,1 - high confidence,Cadherin-17,CAD17_MOUSE,no,12557,Cdh17,1,3,1,1,0,yes
Mouse,Q9R1W5,1 - high confidence,Calcitonin gene-related peptide type 1 receptor,CALRL_MOUSE,no,54598,Calcrl,1,22,1,7,0,yes
Mouse,Q9WTR1,1 - high confidence,Transient receptor potential cation channel subfamily V member 2,TRPV2_MOUSE,no,22368,Trpv2,1,8,1,6,0,yes
Mouse,Q9WU60,1 - high confidence,Attractin,ATRN_MOUSE,no,11990,Atrn,1,21,1,1,0,yes
Mouse,Q9WUH7,1 - high confidence,Semaphorin-4G,SEM4G_MOUSE,no,26456,Sema4g,1,3,1,1,0,yes
Mouse,Q9WV18,1 - high confidence,Gamma-aminobutyric acid type B receptor subunit 1,GABR1_MOUSE,no,54393,Gabbr1,1,3,1,7,0,yes
Mouse,Q9WVD4,1 - high confidence,H(+)/Cl(-) exchange transporter 5,CLCN5_MOUSE,no,12728,Clcn5,1,18,1,11,0,yes
Mouse,Q9WVL3,1 - high confidence,Solute carrier family 12 member 7,S12A7_MOUSE,no,20499,Slc12a7,1,29,1,12,0,yes
Mouse,Q9Z0E8,1 - high confidence,Solute carrier family 22 member 5,S22A5_MOUSE,no,20520,Slc22a5,1,7,1,12,0,yes
Mouse,Q9Z0L0,1 - high confidence,Trophoblast glycoprotein,TPBG_MOUSE,no,21983,Tpbg,1,18,1,1,0,yes
Mouse,Q9Z0L1,1 - high confidence,Sphingosine 1-phosphate receptor 4,S1PR4_MOUSE,no,13611,S1pr4,1,1,1,8,0,yes
Mouse,Q9Z138,1 - high confidence,Tyrosine-protein kinase transmembrane receptor ROR2,ROR2_MOUSE,no,26564,Ror2,1,13,1,1,0,yes
Mouse,Q9Z1M0,1 - high confidence,P2X purinoceptor 7,P2RX7_MOUSE,no,18439,P2rx7,1,23,1,2,0,yes
Mouse,Q9Z2W8,1 - high confidence,Glutamate receptor 4,GRIA4_MOUSE,no,14802,Gria4,1,5,1,3,0,yes
Mouse,Q9Z2W9,1 - high confidence,Glutamate receptor 3,GRIA3_MOUSE,no,53623,Gria3,1,5,1,3,0,yes
Mouse,P35436,1 - high confidence,Glutamate [NMDA] receptor subunit epsilon-1,NMDE1_MOUSE,no,14811,Grin2a,0.9999,1,1,4,0,yes
Mouse,Q8K1G2,1 - high confidence,Limbin,LBN_MOUSE,no,68525,Evc2,0.9999,13,1,2,0,yes
Mouse,Q8K1S4,1 - high confidence,Netrin receptor UNC5A,UNC5A_MOUSE,no,107448,Unc5a,0.9999,3,1,1,0,yes
Mouse,Q8VIM0,1 - high confidence,Hepatitis A virus cellular receptor 2 homolog,TIMD3_MOUSE,no,171285,Havcr2,0.9999,5,1,1,0,yes
Mouse,P01897,1 - high confidence,"H-2 class I histocompatibility antigen, L-D alpha chain",HA1L_MOUSE,no,14980,H2-L,0.9998,11,1,1,0,yes
Mouse,Q80UP8,1 - high confidence,Sodium-dependent phosphate transporter 2,S20A2_MOUSE,no,20516,Slc20a2,0.9997,2,1,8,0,yes
Mouse,Q61559,1 - high confidence,IgG receptor FcRn large subunit p51,FCGRN_MOUSE,no,14132,Fcgrt,0.9995,1,1,1,0,yes
Mouse,P06339,1 - high confidence,"H-2 class I histocompatibility antigen, D-37 alpha chain",HA15_MOUSE,no,15040,H2-T23,0.999,6,1,1,0,yes
Mouse,P01901,1 - high confidence,"H-2 class I histocompatibility antigen, K-B alpha chain",HA1B_MOUSE,no,14972,H2-K1,0.9986,22,1,1,0,yes
Mouse,Q62312,1 - high confidence,TGF-beta receptor type-2,TGFR2_MOUSE,no,21813,Tgfbr2,0.9984,3,1,1,0,yes
Mouse,O35607,1 - high confidence,Bone morphogenetic protein receptor type-2,BMPR2_MOUSE,no,12168,Bmpr2,0.9981,17,1,1,0,yes
Mouse,P98154,1 - high confidence,Integral membrane protein DGCR2/IDD,IDD_MOUSE,no,13356,Dgcr2,0.9979,1,1,1,0,yes
Mouse,Q03137,1 - high confidence,Ephrin type-A receptor 4,EPHA4_MOUSE,no,13838,Epha4,0.9979,6,1,1,0,yes
Mouse,Q8BGD4,1 - high confidence,Solute carrier organic anion transporter family member 4C1,SO4C1_MOUSE,no,227394,Slco4c1,0.9979,5,1,12,0,yes
Mouse,Q8R139,1 - high confidence,Equilibrative nucleoside transporter 4,S29A4_MOUSE,no,243328,Slc29a4,0.9979,2,1,10,0,yes
Mouse,Q91WN2,1 - high confidence,Transmembrane protein 150A,T150A_MOUSE,no,232086,Tmem150A,0.9979,3,1,5,0,yes
Mouse,Q91ZV3,1 - high confidence,"Discoidin, CUB and LCCL domain-containing protein 2",DCBD2_MOUSE,no,73379,Dcbld2,0.9979,10,1,1,0,yes
Mouse,Q925Q3,1 - high confidence,Sodium/potassium/calcium exchanger 6,NCKX6_MOUSE,no,170756,Slc24a6,0.9979,4,1,12,0,yes
Mouse,Q9R1V7,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 23,ADA23_MOUSE,no,23792,Adam23,0.9979,5,1,1,0,yes
Mouse,Q61526,1 - high confidence,Receptor tyrosine-protein kinase erbB-3,ERBB3_MOUSE,no,13867,Erbb3,0.9975,11,1,1,0,yes
Mouse,Q9Z2I4,1 - high confidence,Roundabout homolog 3,ROBO3_MOUSE,no,19649,Robo3,0.9974,1,1,1,0,yes
Mouse,P22723,1 - high confidence,Gamma-aminobutyric acid receptor subunit gamma-2,GBRG2_MOUSE,no,14406,Gabrg2,0.9973,1,1,4,0,yes
Mouse,P34968,1 - high confidence,5-hydroxytryptamine receptor 2C,5HT2C_MOUSE,no,15560,Htr2c,0.9973,1,1,7,0,yes
Mouse,P63080,1 - high confidence,Gamma-aminobutyric acid receptor subunit beta-3,GBRB3_MOUSE,no,14402,Gabrb3,0.9973,1,1,4,0,yes
Mouse,P97717,1 - high confidence,Alpha-1B adrenergic receptor,ADA1B_MOUSE,no,11548,Adra1b,0.9973,1,1,7,0,yes
Mouse,Q64326,1 - high confidence,Adrenocorticotropic hormone receptor,ACTHR_MOUSE,no,17200,Mc2r,0.9973,1,1,7,0,yes
Mouse,Q69ZK9,1 - high confidence,Neuroligin-2,NLGN2_MOUSE,no,216856,Nlgn2,0.9973,2,1,1,0,yes
Mouse,Q7TSK2,1 - high confidence,Seizure protein 6,SEZ6_MOUSE,no,20370,Sez6,0.9973,1,1,1,0,yes
Mouse,Q80Z10,1 - high confidence,Astrotactin-2,ASTN2_MOUSE,no,56079,Astn2,0.9973,1,1,2,0,yes
Mouse,Q80ZD8,1 - high confidence,Amphoterin-induced protein 1,AMGO1_MOUSE,no,229715,Amigo1,0.9973,2,1,1,0,yes
Mouse,Q810B8,1 - high confidence,SLIT and NTRK-like protein 4,SLIK4_MOUSE,no,245446,Slitrk4,0.9973,2,1,1,0,yes
Mouse,Q8BYG9,1 - high confidence,Ephrin type-A receptor 10,EPHAA_MOUSE,no,230735,Epha10,0.9973,2,1,1,0,yes
Mouse,Q8CAE9,1 - high confidence,Podocalyxin-like protein 2,PDXL2_MOUSE,no,319655,Podxl2,0.9973,1,1,1,0,yes
Mouse,Q8VI51,1 - high confidence,VPS10 domain-containing receptor SorCS3,SORC3_MOUSE,no,66673,Sorcs3,0.9973,2,1,1,0,yes
Mouse,Q60614,1 - high confidence,Adenosine receptor A2b,AA2BR_MOUSE,no,11541,Adora2b,0.9972,1,1,7,0,yes
Mouse,Q61627,1 - high confidence,Glutamate receptor delta-1 subunit,GRID1_MOUSE,no,14803,Grid1,0.9972,2,1,4,0,yes
Mouse,Q8BH24,1 - high confidence,Transmembrane 9 superfamily member 4,TM9S4_MOUSE,no,99237,Tm9sf4,0.9972,2,1,9,0,yes
Mouse,Q99PJ1,1 - high confidence,Protocadherin-15,PCD15_MOUSE,no,11994,Pcdh15,0.9972,2,1,1,0,yes
Mouse,Q9Z0M3,1 - high confidence,Cadherin-20,CAD20_MOUSE,no,23836,Cdh20,0.9972,2,1,1,0,yes
Mouse,P29319,1 - high confidence,Ephrin type-A receptor 3,EPHA3_MOUSE,no,13837,Epha3,0.9971,1,1,1,0,yes
Mouse,P29754,1 - high confidence,Type-1A angiotensin II receptor,AGTRA_MOUSE,no,11607,Agtr1a,0.9971,3,1,7,0,yes
Mouse,P32211,1 - high confidence,Muscarinic acetylcholine receptor M4,ACM4_MOUSE,no,12672,Chrm4,0.9971,2,1,6,0,yes
Mouse,P70211,1 - high confidence,Netrin receptor DCC,DCC_MOUSE,no,13176,Dcc,0.9971,4,1,1,0,yes
Mouse,Q32MD9,1 - high confidence,Cell adhesion molecule-related/down-regulated by oncogenes,CDON_MOUSE,no,57810,Cdon,0.9971,2,1,1,0,yes
Mouse,Q64487,1 - high confidence,Receptor-type tyrosine-protein phosphatase delta,PTPRD_MOUSE,no,19266,Ptprd,0.9971,4,1,1,0,yes
Mouse,Q6AZB0,1 - high confidence,Brother of CDO,BOC_MOUSE,no,117606,Boc,0.9971,2,1,1,0,yes
Mouse,Q8BZ81,1 - high confidence,Leucine-rich repeat transmembrane neuronal protein 3,LRRT3_MOUSE,no,216028,Lrrtm3,0.997,3,1,1,0,yes
Mouse,A2A699,1 - high confidence,Protein FAM171A2,F1712_MOUSE,no,217219,Fam171a2,0.9969,7,1,2,0,yes
Mouse,P33896,1 - high confidence,Interferon alpha/beta receptor 1,INAR1_MOUSE,no,15975,Ifnar1,0.9968,10,1,1,0,yes
Mouse,Q9JL06,1 - high confidence,Lysophosphatidic acid receptor 2,LPAR2_MOUSE,no,53978,Lpar2,0.9968,4,1,6,0,yes
Mouse,O35375,1 - high confidence,Neuropilin-2,NRP2_MOUSE,no,18187,Nrp2,0.9966,14,1,1,0,yes
Mouse,O35379,1 - high confidence,Multidrug resistance-associated protein 1,MRP1_MOUSE,no,17250,Abcc1,0.9966,11,1,17,0,yes
Mouse,P10761,1 - high confidence,Zona pellucida sperm-binding protein 3,ZP3_MOUSE,no,22788,Zp3,0.9966,2,1,1,0,yes
Mouse,P35951,1 - high confidence,Low-density lipoprotein receptor,LDLR_MOUSE,no,16835,Ldlr,0.9966,15,1,1,0,yes
Mouse,P37172,1 - high confidence,Activin receptor type-1,ACVR1_MOUSE,no,11477,Acvr1,0.9966,5,1,1,0,yes
Mouse,P52795,1 - high confidence,Ephrin-B1,EFNB1_MOUSE,no,13641,Efnb1,0.9966,10,1,1,0,yes
Mouse,P54754,1 - high confidence,Ephrin type-B receptor 3,EPHB3_MOUSE,no,13845,Ephb3,0.9966,1,1,1,0,yes
Mouse,P59383,1 - high confidence,Leucine-rich repeat neuronal protein 4,LRRN4_MOUSE,no,320974,Lrrn4,0.9966,14,1,1,0,yes
Mouse,P61622,1 - high confidence,Integrin alpha-11,ITA11_MOUSE,no,319480,Itga11,0.9966,5,1,1,0,yes
Mouse,P82347,1 - high confidence,Delta-sarcoglycan,SGCD_MOUSE,no,24052,Sgcd,0.9966,1,1,1,0,yes
Mouse,P82349,1 - high confidence,Beta-sarcoglycan,SGCB_MOUSE,no,24051,Sgcb,0.9966,16,1,1,0,yes
Mouse,Q3TWN3,1 - high confidence,Metal transporter CNNM2,CNNM2_MOUSE,no,94219,Cnnm2,0.9966,19,1,4,0,yes
Mouse,Q60750,1 - high confidence,Ephrin type-A receptor 1,EPHA1_MOUSE,no,13835,Epha1,0.9966,6,1,1,0,yes
Mouse,Q62165,1 - high confidence,Dystroglycan,DAG1_MOUSE,no,13138,Dag1,0.9966,12,1,1,0,yes
Mouse,Q64151,1 - high confidence,Semaphorin-4C,SEM4C_MOUSE,no,20353,Sema4c,0.9966,15,1,1,0,yes
Mouse,Q69ZF7,1 - high confidence,Metal transporter CNNM4,CNNM4_MOUSE,no,94220,Cnnm4,0.9966,11,1,4,0,yes
Mouse,Q6P5F7,1 - high confidence,Protein tweety homolog 3,TTYH3_MOUSE,no,78339,Ttyh3,0.9966,21,1,5,0,yes
Mouse,Q6PEM8,1 - high confidence,Proton-coupled folate transporter,PCFT_MOUSE,no,52466,Slc46a1,0.9966,23,1,12,0,yes
Mouse,Q6PFE7,1 - high confidence,Tomoregulin-1,TEFF1_MOUSE,no,230157,Tmeff1,0.9966,11,1,1,0,yes
Mouse,Q6VVW5,1 - high confidence,Atrial natriuretic peptide receptor 2,ANPRB_MOUSE,no,230103,Npr2,0.9966,6,1,1,0,yes
Mouse,Q7TT36,1 - high confidence,Probable G-protein coupled receptor 125,GP125_MOUSE,no,70693,Gpr125,0.9966,3,1,7,0,yes
Mouse,Q80W68,1 - high confidence,Kin of IRRE-like protein 1,KIRR1_MOUSE,no,170643,Kirrel,0.9966,17,1,2,0,yes
Mouse,Q8BKU8,1 - high confidence,Transmembrane protein 87B,TM87B_MOUSE,no,72477,Tmem87b,0.9966,6,1,7,0,yes
Mouse,Q8BLG2,1 - high confidence,Lysophosphatidic acid receptor 4,LPAR4_MOUSE,no,78134,Lpar4,0.9966,19,1,7,0,yes
Mouse,Q8C6Z1,1 - high confidence,Mucin-15,MUC15_MOUSE,no,269328,Muc15,0.9966,1,1,1,0,yes
Mouse,Q8C7X2,1 - high confidence,Uncharacterized protein KIAA0090,K0090_MOUSE,no,230866,Kiaa0090,0.9966,26,1,1,0,yes
Mouse,Q8K078,1 - high confidence,Solute carrier organic anion transporter family member 4A1,SO4A1_MOUSE,no,108115,Slco4a1,0.9966,11,1,12,0,yes
Mouse,Q8VI56,1 - high confidence,Low-density lipoprotein receptor-related protein 4,LRP4_MOUSE,no,228357,Lrp4,0.9966,12,1,1,0,yes
Mouse,Q91WR6,1 - high confidence,Uncharacterized protein C6orf72 homolog,CF072_MOUSE,no,215751,0,0.9966,2,1,1,0,yes
Mouse,Q9DC11,1 - high confidence,Plexin domain-containing protein 2,PXDC2_MOUSE,no,67448,Plxdc2,0.9966,2,1,1,0,yes
Mouse,Q9ET30,1 - high confidence,Transmembrane 9 superfamily member 3,TM9S3_MOUSE,no,107358,Tm9sf3,0.9966,31,1,9,0,yes
Mouse,Q9R069,1 - high confidence,Basal cell adhesion molecule,BCAM_MOUSE,no,57278,Bcam,0.9966,10,1,1,0,yes
Mouse,Q9R0M0,1 - high confidence,Cadherin EGF LAG seven-pass G-type receptor 2,CELR2_MOUSE,no,53883,Celsr2,0.9966,4,1,7,0,yes
Mouse,O55111,1 - high confidence,Desmoglein-2,DSG2_MOUSE,no,13511,Dsg2,0.9965,10,1,1,0,yes
Mouse,P97326,1 - high confidence,Cadherin-6,CADH6_MOUSE,no,12563,Cdh6,0.9965,5,1,1,0,yes
Mouse,Q61625,1 - high confidence,Glutamate receptor delta-2 subunit,GRID2_MOUSE,no,14804,Grid2,0.9965,3,1,4,0,yes
Mouse,Q61730,1 - high confidence,Interleukin-1 receptor accessory protein,IL1AP_MOUSE,no,16180,Il1rap,0.9965,18,1,1,0,yes
Mouse,Q61824,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 12,ADA12_MOUSE,no,11489,Adam12,0.9965,1,1,1,0,yes
Mouse,Q6NXK8,1 - high confidence,"Amiloride-sensitive cation channel 2, neuronal",ACCN2_MOUSE,no,11419,Accn2,0.9965,2,1,1,0,yes
Mouse,Q9DBY4,1 - high confidence,Leucine-rich repeat-containing protein KIAA0644,K0644_MOUSE,no,66873,KIAA0644,0.9965,1,1,1,0,yes
Mouse,Q80TF3,1 - high confidence,Protocadherin-19,PCD19_MOUSE,no,279653,Pcdh19,0.9963,2,1,1,0,yes
Mouse,Q8JZL1,1 - high confidence,Interleukin-17 receptor D,I17RD_MOUSE,no,171463,Il17rd,0.9963,6,1,1,0,yes
Mouse,Q9D8N1,1 - high confidence,Uncharacterized protein C11orf24 homolog,CK024_MOUSE,no,72056,0,0.9963,7,1,1,0,yes
Mouse,Q8BHY3,1 - high confidence,Anoctamin-1,ANO1_MOUSE,no,101772,Ano1,0.996,4,1,8,0,yes
Mouse,Q91VN0,1 - high confidence,Low-density lipoprotein receptor-related protein 5,LRP5_MOUSE,no,16973,Lrp5,0.996,4,1,1,0,yes
Mouse,Q9Z0U9,1 - high confidence,Sphingosine 1-phosphate receptor 3,S1PR3_MOUSE,no,13610,S1pr3,0.9959,3,1,7,0,yes
Mouse,P20489,1 - high confidence,High affinity immunoglobulin epsilon receptor subunit alpha,FCERA_MOUSE,no,14125,Fcer1a,0.9956,1,1,1,0,yes
Mouse,Q9EPK8,1 - high confidence,Transient receptor potential cation channel subfamily V member 4,TRPV4_MOUSE,no,63873,Trpv4,0.9956,1,1,6,0,yes
Mouse,Q8VD31,1 - high confidence,Tapasin-related protein,TPSNR_MOUSE,no,213233,Tapbpl,0.9954,1,1,1,0,yes
Mouse,Q3UUY6,1 - high confidence,Prominin-2,PROM2_MOUSE,no,192212,Prom2,0.9951,2,1,5,0,yes
Mouse,Q8BGV3,1 - high confidence,Tumor-associated calcium signal transducer 2,TACD2_MOUSE,no,56753,Tacstd2,0.9951,5,1,1,0,yes
Mouse,Q9Z0Z4,1 - high confidence,Hephaestin,HEPH_MOUSE,no,15203,Heph,0.9951,5,1,1,0,yes
Mouse,P26011,1 - high confidence,Integrin beta-7,ITB7_MOUSE,no,16421,Itgb7,0.9949,5,1,1,0,yes
Mouse,P30987,1 - high confidence,Thromboxane A2 receptor,TA2R_MOUSE,no,21390,Tbxa2r,0.9949,2,1,7,0,yes
Mouse,P47936,1 - high confidence,Cannabinoid receptor 2,CNR2_MOUSE,no,12802,Cnr2,0.9949,1,1,7,0,yes
Mouse,Q6AXF6,1 - high confidence,SID1 transmembrane family member 1,SIDT1_MOUSE,no,320007,Sidt1,0.9949,1,1,11,0,yes
Mouse,O70394,1 - high confidence,Interleukin-27 receptor subunit alpha,I27RA_MOUSE,no,50931,Il27ra,0.9946,4,1,1,0,yes
Mouse,Q9JHX3,1 - high confidence,Interleukin-21 receptor,IL21R_MOUSE,no,60504,Il21r,0.9946,2,1,1,0,yes
Mouse,O35664,1 - high confidence,Interferon alpha/beta receptor 2,INAR2_MOUSE,no,15976,Ifnar2,0.9945,4,1,1,0,yes
Mouse,O70258,1 - high confidence,Epsilon-sarcoglycan,SGCE_MOUSE,no,20392,Sgce,0.9945,7,1,1,0,yes
Mouse,P39038,1 - high confidence,Cadherin-4,CADH4_MOUSE,no,12561,Cdh4,0.9945,3,1,1,0,yes
Mouse,P48302,1 - high confidence,Endothelin B receptor,EDNRB_MOUSE,no,13618,Ednrb,0.9945,2,1,7,0,yes
Mouse,P56481,1 - high confidence,Gastrin/cholecystokinin type B receptor,GASR_MOUSE,no,12426,Cckbr,0.9945,2,1,7,0,yes
Mouse,P56485,1 - high confidence,C-X-C chemokine receptor type 7,CXCR7_MOUSE,no,12778,Cxcr7,0.9945,5,1,7,0,yes
Mouse,P56726,1 - high confidence,Smoothened homolog,SMO_MOUSE,no,319757,Smo,0.9945,8,1,7,0,yes
Mouse,P58659,1 - high confidence,Uncharacterized protein C21orf63 homolog,CU063_MOUSE,no,70967,0,0.9945,1,1,1,0,yes
Mouse,P60882,1 - high confidence,Multiple epidermal growth factor-like domains protein 8,MEGF8_MOUSE,no,269878,Megf8,0.9945,7,1,1,0,yes
Mouse,P61793,1 - high confidence,Lysophosphatidic acid receptor 1,LPAR1_MOUSE,no,14745,Lpar1,0.9945,1,1,6,0,yes
Mouse,P70387,1 - high confidence,Hereditary hemochromatosis protein homolog,HFE_MOUSE,no,15216,Hfe,0.9945,2,1,1,0,yes
Mouse,P97468,1 - high confidence,Chemokine receptor-like 1,CML1_MOUSE,no,14747,Cmklr1,0.9945,2,1,7,0,yes
Mouse,Q3TR08,1 - high confidence,Fibronectin type III domain-containing protein 4,FNDC4_MOUSE,no,64339,Fndc4,0.9945,1,1,1,0,yes
Mouse,Q3U284,1 - high confidence,UPF0513 transmembrane protein,U513_MOUSE,no,234740,0,0.9945,1,1,2,0,yes
Mouse,Q61072,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9_MOUSE,no,11502,Adam9,0.9945,10,1,1,0,yes
Mouse,Q62011,1 - high confidence,Podoplanin,PDPN_MOUSE,no,14726,Pdpn,0.9945,10,1,1,0,yes
Mouse,Q6DFX2,1 - high confidence,Anthrax toxin receptor 2,ANTR2_MOUSE,no,71914,Antxr2,0.9945,2,1,1,0,yes
Mouse,Q6XJV4,1 - high confidence,Cell surface glycoprotein CD200 receptor 4,MO2R4_MOUSE,no,239849,Cd200r4,0.9945,2,1,1,0,yes
Mouse,Q8BNA6,1 - high confidence,Protocadherin Fat 3,FAT3_MOUSE,no,270120,Fat3,0.9945,8,1,1,0,yes
Mouse,Q8C8T7,1 - high confidence,Extracellular leucine-rich repeat and fibronectin type-III domain-containing protein 1,ELFN1_MOUSE,no,243312,Elfn1,0.9945,6,1,1,0,yes
Mouse,Q8CIF6,1 - high confidence,SID1 transmembrane family member 2,SIDT2_MOUSE,no,214597,Sidt2,0.9945,9,1,11,0,yes
Mouse,Q8K1T1,1 - high confidence,Leucine-rich repeat-containing protein 25,LRC25_MOUSE,no,211228,Lrrc25,0.9945,3,1,1,0,yes
Mouse,Q8R2Q6,1 - high confidence,Tectonic-3,TECT3_MOUSE,no,67590,Tctn3,0.9945,2,1,1,0,yes
Mouse,Q99JG2,1 - high confidence,Endothelin B receptor-like protein 2,ETBR2_MOUSE,no,171469,Gpr37l1,0.9945,2,1,5,0,yes
Mouse,Q9JHE3,1 - high confidence,Neutral ceramidase,ASAH2_MOUSE,no,54447,Asah2,0.9945,1,1,1,0,yes
Mouse,Q9R1V6,1 - high confidence,Disintegrin and metalloproteinase domain-containing protein 22,ADA22_MOUSE,no,11496,Adam22,0.9945,4,1,1,0,yes
Mouse,Q9Z139,1 - high confidence,Tyrosine-protein kinase transmembrane receptor ROR1,ROR1_MOUSE,no,26563,Ror1,0.9945,1,1,2,0,yes
Mouse,P41047,1 - high confidence,Tumor necrosis factor ligand superfamily member 6,TNFL6_MOUSE,no,14103,Faslg,0.994,1,1,1,0,yes
Mouse,P50284,1 - high confidence,Tumor necrosis factor receptor superfamily member 3,TNR3_MOUSE,no,17000,Ltbr,0.9938,8,1,1,0,yes
Mouse,Q5U431,1 - high confidence,G-protein coupled receptor 39,GPR39_MOUSE,no,71111,Gpr39,0.9938,6,1,7,0,yes
Mouse,Q8R143,1 - high confidence,Pituitary tumor-transforming gene 1 protein-interacting protein,PTTG_MOUSE,no,108705,Pttg1ip,0.9938,16,1,1,0,yes
Mouse,Q8VHP6,1 - high confidence,Protocadherin-21,PCD21_MOUSE,no,170677,Pcdh21,0.9938,1,1,1,0,yes
Mouse,Q9QY96,1 - high confidence,Extracellular calcium-sensing receptor,CASR_MOUSE,no,12374,Casr,0.9938,2,1,7,0,yes
Mouse,Q64729,1 - high confidence,TGF-beta receptor type-1,TGFR1_MOUSE,no,21812,Tgfbr1,0.9937,2,1,1,0,yes
Mouse,Q9WTS5,1 - high confidence,Teneurin-2,TEN2_MOUSE,no,23964,Odz2,0.9937,7,1,1,0,yes
Mouse,Q01887,1 - high confidence,Tyrosine-protein kinase RYK,RYK_MOUSE,no,20187,Ryk,0.9935,7,1,1,0,yes
Mouse,P21447,1 - high confidence,Multidrug resistance protein 3,MDR3_MOUSE,no,18671,Abcb1a,0.9932,2,1,12,0,yes
Mouse,Q9WUP1,1 - high confidence,Receptor activity-modifying protein 3,RAMP3_MOUSE,no,56089,Ramp3,0.9932,5,1,1,0,yes
Mouse,Q60805,1 - high confidence,Tyrosine-protein kinase Mer,MERTK_MOUSE,no,17289,Mertk,0.9931,2,1,1,0,yes
Mouse,Q8BYM5,1 - high confidence,Neuroligin-3,NLGN3_MOUSE,no,245537,Nlgn3,0.9931,3,1,1,0,yes
Mouse,Q9D3A9,1 - high confidence,Protein tweety homolog 1,TTYH1_MOUSE,no,57776,Ttyh1,0.9931,2,1,5,0,yes
Mouse,Q9JIP4,1 - high confidence,Pannexin-1,PANX1_MOUSE,no,55991,Panx1,0.9931,14,1,4,0,yes
Mouse,Q9QYS2,1 - high confidence,Metabotropic glutamate receptor 3,GRM3_MOUSE,no,108069,Grm3,0.9931,4,1,7,0,yes
Mouse,Q14B62,1 - high confidence,Patched domain-containing protein 1,PTHD1_MOUSE,no,211612,Ptchd1,0.9929,3,1,12,0,yes
